"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 04, 2019","11,988.01","11,924.61","12,029.26","11,916.57","80.22M","0.28%"
"Apr 03, 2019","11,954.40","11,855.40","11,961.36","11,854.21","96.29M","1.70%"
"Apr 02, 2019","11,754.79","11,703.24","11,777.65","11,659.15","79.78M","0.62%"
"Apr 01, 2019","11,681.99","11,617.18","11,706.64","11,612.70","99.98M","1.35%"
"Mar 29, 2019","11,526.04","11,492.09","11,549.42","11,442.12","92.09M","0.86%"
"Mar 28, 2019","11,428.16","11,422.16","11,494.15","11,414.66","92.17M","0.08%"
"Mar 27, 2019","11,419.04","11,439.02","11,502.35","11,368.13","105.27M","-0.00%"
"Mar 26, 2019","11,419.48","11,374.18","11,447.13","11,299.80","82.46M","0.64%"
"Mar 25, 2019","11,346.65","11,323.20","11,392.00","11,312.54","77.38M","-0.15%"
"Mar 22, 2019","11,364.17","11,578.39","11,623.97","11,356.49","115.66M","-1.61%"
"Mar 21, 2019","11,549.96","11,566.87","11,582.54","11,467.79","94.45M","-0.46%"
"Mar 20, 2019","11,603.89","11,704.44","11,721.41","11,596.20","103.95M","-1.57%"
"Mar 19, 2019","11,788.41","11,672.76","11,823.29","11,652.02","84.06M","1.13%"
"Mar 18, 2019","11,657.06","11,685.54","11,712.36","11,635.88","93.93M","-0.25%"
"Mar 15, 2019","11,685.69","11,608.67","11,725.66","11,575.33","193.80M","0.85%"
"Mar 14, 2019","11,587.47","11,573.42","11,635.76","11,541.10","90.30M","0.13%"
"Mar 13, 2019","11,572.41","11,499.32","11,586.90","11,486.74","80.79M","0.42%"
"Mar 12, 2019","11,524.17","11,612.46","11,618.73","11,499.47","90.07M","-0.17%"
"Mar 11, 2019","11,543.48","11,497.98","11,550.59","11,462.90","73.79M","0.75%"
"Mar 08, 2019","11,457.84","11,429.77","11,475.55","11,405.21","84.48M","-0.52%"
"Mar 07, 2019","11,517.80","11,546.42","11,612.95","11,452.86","102.61M","-0.60%"
"Mar 06, 2019","11,587.63","11,593.21","11,652.77","11,565.22","67.22M","-0.28%"
"Mar 05, 2019","11,620.74","11,570.97","11,627.78","11,551.45","65.61M","0.24%"
"Mar 04, 2019","11,592.66","11,646.21","11,650.44","11,591.74","60.22M","-0.08%"
"Mar 01, 2019","11,601.68","11,584.24","11,676.86","11,583.08","74.96M","0.75%"
"Feb 28, 2019","11,515.64","11,430.80","11,524.99","11,416.08","86.73M","0.25%"
"Feb 27, 2019","11,487.33","11,493.81","11,521.22","11,442.97","86.87M","-0.46%"
"Feb 26, 2019","11,540.79","11,446.29","11,556.87","11,441.87","76.32M","0.31%"
"Feb 25, 2019","11,505.39","11,517.76","11,544.31","11,480.49","72.11M","0.42%"
"Feb 22, 2019","11,457.70","11,422.62","11,504.71","11,420.74","68.96M","0.30%"
"Feb 21, 2019","11,423.28","11,448.65","11,454.44","11,392.27","80.19M","0.19%"
"Feb 20, 2019","11,401.97","11,338.74","11,437.47","11,318.74","74.07M","0.82%"
"Feb 19, 2019","11,309.21","11,280.73","11,371.44","11,244.52","69.22M","0.09%"
"Feb 18, 2019","11,299.20","11,287.74","11,318.19","11,256.27","57.20M","-0.01%"
"Feb 15, 2019","11,299.80","11,044.80","11,323.05","11,018.95","108.91M","1.89%"
"Feb 14, 2019","11,089.79","11,257.80","11,260.55","11,077.78","85.96M","-0.69%"
"Feb 13, 2019","11,167.22","11,174.85","11,217.30","11,125.59","71.93M","0.37%"
"Feb 12, 2019","11,126.08","11,123.43","11,164.38","11,116.86","77.16M","1.01%"
"Feb 11, 2019","11,014.59","10,955.83","11,041.95","10,944.58","71.70M","0.99%"
"Feb 08, 2019","10,906.78","10,991.79","11,045.41","10,863.56","105.47M","-1.05%"
"Feb 07, 2019","11,022.02","11,262.97","11,286.46","11,022.02","111.36M","-2.67%"
"Feb 06, 2019","11,324.72","11,337.54","11,347.94","11,297.42","78.24M","-0.38%"
"Feb 05, 2019","11,367.98","11,178.75","11,371.74","11,177.70","92.18M","1.71%"
"Feb 04, 2019","11,176.58","11,180.42","11,209.31","11,100.34","76.46M","-0.04%"
"Feb 01, 2019","11,180.66","11,198.46","11,218.51","11,116.08","104.85M","0.07%"
"Jan 31, 2019","11,173.10","11,257.92","11,311.37","11,051.11","115.41M","-0.08%"
"Jan 30, 2019","11,181.66","11,210.68","11,215.21","11,132.38","75.91M","-0.33%"
"Jan 29, 2019","11,218.83","11,191.52","11,276.28","11,159.17","77.45M","0.08%"
"Jan 28, 2019","11,210.31","11,233.16","11,275.21","11,196.42","75.38M","-0.63%"
"Jan 25, 2019","11,281.79","11,234.05","11,321.62","11,218.35","103.09M","1.36%"
"Jan 24, 2019","11,130.18","11,045.64","11,149.32","11,032.53","113.97M","0.53%"
"Jan 23, 2019","11,071.54","11,043.64","11,135.75","11,007.21","90.47M","-0.17%"
"Jan 22, 2019","11,090.11","11,076.98","11,142.22","11,034.55","75.72M","-0.41%"
"Jan 21, 2019","11,136.20","11,176.12","11,179.91","11,125.53","68.00M","-0.62%"
"Jan 18, 2019","11,205.54","11,001.31","11,216.82","10,993.83","122.82M","2.63%"
"Jan 17, 2019","10,918.62","10,852.50","10,929.30","10,822.25","81.78M","-0.12%"
"Jan 16, 2019","10,931.24","10,940.36","10,947.87","10,866.39","82.28M","0.36%"
"Jan 15, 2019","10,891.79","10,962.95","10,994.83","10,812.59","82.68M","0.33%"
"Jan 14, 2019","10,855.91","10,820.85","10,886.23","10,786.75","67.99M","-0.29%"
"Jan 11, 2019","10,887.46","10,949.13","10,959.00","10,829.92","77.87M","-0.31%"
"Jan 10, 2019","10,921.59","10,843.89","10,927.13","10,788.05","79.65M","0.26%"
"Jan 09, 2019","10,893.32","10,884.75","10,961.92","10,839.09","99.04M","0.83%"
"Jan 08, 2019","10,803.98","10,750.19","10,910.71","10,745.03","96.57M","0.52%"
"Jan 07, 2019","10,747.81","10,814.39","10,814.47","10,681.27","73.35M","-0.18%"
"Jan 04, 2019","10,767.69","10,533.94","10,786.34","10,483.90","98.29M","3.37%"
"Jan 03, 2019","10,416.66","10,467.11","10,538.66","10,400.11","87.35M","-1.55%"
"Jan 02, 2019","10,580.19","10,477.77","10,612.72","10,386.97","82.09M","0.20%"
"Dec 28, 2018","10,558.96","10,452.02","10,586.80","10,431.38","54.23M","1.71%"
"Dec 27, 2018","10,381.51","10,607.42","10,635.45","10,279.20","107.37M","-2.37%"
"Dec 21, 2018","10,633.82","10,573.08","10,654.66","10,512.64","222.85M","0.21%"
"Dec 20, 2018","10,611.10","10,621.18","10,686.37","10,563.44","126.24M","-1.44%"
"Dec 19, 2018","10,766.21","10,777.42","10,831.44","10,749.55","99.49M","0.24%"
"Dec 18, 2018","10,740.89","10,744.28","10,841.42","10,714.97","99.27M","-0.29%"
"Dec 17, 2018","10,772.20","10,852.99","10,886.80","10,700.62","88.25M","-0.86%"
"Dec 14, 2018","10,865.77","10,809.58","10,903.39","10,733.75","83.94M","-0.54%"
"Dec 13, 2018","10,924.70","10,978.68","10,988.77","10,887.26","90.72M","-0.04%"
"Dec 12, 2018","10,929.43","10,832.04","10,971.12","10,815.51","106.42M","1.38%"
"Dec 11, 2018","10,780.51","10,711.40","10,884.62","10,684.62","104.96M","1.49%"
"Dec 10, 2018","10,622.07","10,726.17","10,757.73","10,585.77","123.24M","-1.54%"
"Dec 07, 2018","10,788.09","10,876.34","10,927.37","10,788.09","103.49M","-0.21%"
"Dec 06, 2018","10,810.98","11,053.58","11,063.44","10,762.41","136.09M","-3.48%"
"Dec 05, 2018","11,200.24","11,204.32","11,266.28","11,177.15","75.66M","-1.19%"
"Dec 04, 2018","11,335.32","11,429.82","11,442.19","11,330.44","86.40M","-1.14%"
"Dec 03, 2018","11,465.46","11,534.75","11,566.97","11,457.61","104.38M","1.85%"
"Nov 30, 2018","11,257.24","11,311.66","11,315.30","11,208.60","112.39M","-0.36%"
"Nov 29, 2018","11,298.23","11,377.21","11,403.72","11,275.70","95.25M","-0.01%"
"Nov 28, 2018","11,298.88","11,355.80","11,358.80","11,279.46","75.21M","-0.09%"
"Nov 27, 2018","11,309.11","11,380.79","11,400.05","11,264.65","77.79M","-0.40%"
"Nov 26, 2018","11,354.72","11,315.90","11,390.93","11,301.82","92.20M","1.45%"
"Nov 23, 2018","11,192.69","11,146.55","11,205.99","11,093.52","64.96M","0.49%"
"Nov 22, 2018","11,138.49","11,216.29","11,221.77","11,119.04","66.56M","-0.94%"
"Nov 21, 2018","11,244.17","11,138.25","11,257.83","11,113.34","95.47M","1.61%"
"Nov 20, 2018","11,066.41","11,157.65","11,187.16","11,009.25","123.68M","-1.58%"
"Nov 19, 2018","11,244.54","11,384.00","11,419.55","11,231.59","81.15M","-0.85%"
"Nov 16, 2018","11,341.00","11,425.80","11,448.56","11,233.21","116.51M","-0.11%"
"Nov 15, 2018","11,353.67","11,447.84","11,500.66","11,254.92","99.86M","-0.52%"
"Nov 14, 2018","11,412.53","11,394.75","11,566.79","11,314.60","109.69M","-0.52%"
"Nov 13, 2018","11,472.22","11,374.11","11,495.69","11,349.94","103.14M","1.30%"
"Nov 12, 2018","11,325.44","11,591.59","11,598.51","11,310.72","96.09M","-1.77%"
"Nov 09, 2018","11,529.16","11,489.19","11,549.06","11,418.35","106.91M","0.02%"
"Nov 08, 2018","11,527.32","11,629.00","11,648.79","11,503.36","83.12M","-0.45%"
"Nov 07, 2018","11,579.10","11,542.09","11,634.81","11,532.34","88.65M","0.83%"
"Nov 06, 2018","11,484.34","11,518.17","11,528.52","11,436.53","86.75M","-0.09%"
"Nov 05, 2018","11,494.96","11,522.33","11,555.97","11,479.19","71.52M","-0.21%"
"Nov 02, 2018","11,518.99","11,636.37","11,689.96","11,518.87","113.32M","0.44%"
"Nov 01, 2018","11,468.54","11,419.61","11,575.43","11,416.36","101.91M","0.18%"
"Oct 31, 2018","11,447.51","11,417.09","11,499.38","11,391.64","131.22M","1.42%"
"Oct 30, 2018","11,287.39","11,391.78","11,394.37","11,212.58","102.38M","-0.42%"
"Oct 29, 2018","11,335.48","11,270.67","11,444.86","11,218.92","101.77M","1.20%"
"Oct 26, 2018","11,200.62","11,180.96","11,205.83","11,051.04","142.99M","-0.94%"
"Oct 25, 2018","11,307.12","11,098.68","11,324.92","11,078.37","124.10M","1.03%"
"Oct 24, 2018","11,191.63","11,298.65","11,391.94","11,166.84","121.11M","-0.73%"
"Oct 23, 2018","11,274.28","11,367.57","11,394.21","11,228.50","118.76M","-2.17%"
"Oct 22, 2018","11,524.34","11,665.68","11,677.45","11,497.09","76.05M","-0.26%"
"Oct 19, 2018","11,553.83","11,578.85","11,617.28","11,498.69","132.73M","-0.31%"
"Oct 18, 2018","11,589.21","11,695.19","11,791.22","11,586.32","100.19M","-1.07%"
"Oct 17, 2018","11,715.03","11,811.47","11,847.79","11,669.96","96.50M","-0.52%"
"Oct 16, 2018","11,776.55","11,637.62","11,790.15","11,606.97","88.34M","1.40%"
"Oct 15, 2018","11,614.16","11,523.81","11,625.02","11,459.08","74.19M","0.78%"
"Oct 12, 2018","11,523.81","11,691.47","11,693.84","11,514.55","102.24M","-0.13%"
"Oct 11, 2018","11,539.35","11,558.98","11,700.50","11,518.56","146.69M","-1.48%"
"Oct 10, 2018","11,712.50","11,976.70","11,978.80","11,712.27","121.23M","-2.21%"
"Oct 09, 2018","11,977.22","11,963.63","11,998.64","11,803.19","79.57M","0.25%"
"Oct 08, 2018","11,947.16","12,044.96","12,072.27","11,938.80","79.66M","-1.36%"
"Oct 05, 2018","12,111.90","12,236.29","12,245.41","12,103.55","96.95M","-1.08%"
"Oct 04, 2018","12,244.14","12,275.07","12,348.86","12,174.69","104.31M","-0.35%"
"Oct 02, 2018","12,287.58","12,229.07","12,310.76","12,203.60","84.85M","-0.42%"
"Oct 01, 2018","12,339.03","12,265.89","12,373.29","12,263.10","79.30M","0.75%"
"Sep 28, 2018","12,246.73","12,381.36","12,394.16","12,190.57","114.06M","-1.52%"
"Sep 27, 2018","12,435.59","12,329.40","12,456.69","12,272.65","92.63M","0.40%"
"Sep 26, 2018","12,385.89","12,395.20","12,395.92","12,329.52","77.28M","0.09%"
"Sep 25, 2018","12,374.66","12,341.85","12,416.87","12,322.19","85.78M","0.19%"
"Sep 24, 2018","12,350.82","12,383.42","12,409.96","12,349.30","74.82M","-0.64%"
"Sep 21, 2018","12,430.88","12,402.72","12,458.30","12,373.95","412.54M","0.85%"
"Sep 20, 2018","12,326.48","12,210.95","12,354.38","12,210.57","113.54M","0.88%"
"Sep 19, 2018","12,219.02","12,168.20","12,241.14","12,165.08","101.59M","0.50%"
"Sep 18, 2018","12,157.67","12,097.19","12,184.41","12,064.41","86.75M","0.51%"
"Sep 17, 2018","12,096.41","12,056.38","12,123.09","12,040.80","71.41M","-0.23%"
"Sep 14, 2018","12,124.33","12,109.37","12,134.54","12,075.58","80.15M","0.57%"
"Sep 13, 2018","12,055.55","12,036.79","12,129.81","12,017.41","100.10M","0.19%"
"Sep 12, 2018","12,032.30","11,989.27","12,046.66","11,952.49","115.76M","0.52%"
"Sep 11, 2018","11,970.27","12,013.01","12,017.73","11,865.47","95.92M","-0.13%"
"Sep 10, 2018","11,986.34","11,950.55","12,039.22","11,930.30","82.98M","0.22%"
"Sep 07, 2018","11,959.63","11,960.10","11,990.81","11,888.57","104.94M","0.04%"
"Sep 06, 2018","11,955.25","11,995.81","12,091.98","11,944.50","90.15M","-0.71%"
"Sep 05, 2018","12,040.46","12,161.65","12,167.36","12,035.76","112.88M","-1.39%"
"Sep 04, 2018","12,210.21","12,389.46","12,402.87","12,162.71","87.09M","-1.10%"
"Sep 03, 2018","12,346.41","12,338.36","12,358.17","12,300.47","52.34M","-0.14%"
"Aug 31, 2018","12,364.06","12,418.26","12,426.86","12,348.91","93.07M","-1.04%"
"Aug 30, 2018","12,494.24","12,516.55","12,529.30","12,400.12","75.97M","-0.54%"
"Aug 29, 2018","12,561.68","12,553.86","12,569.06","12,499.53","59.99M","0.27%"
"Aug 28, 2018","12,527.42","12,578.65","12,597.02","12,527.42","75.15M","-0.09%"
"Aug 27, 2018","12,538.31","12,462.75","12,562.37","12,429.34","53.82M","1.16%"
"Aug 24, 2018","12,394.52","12,396.69","12,444.35","12,344.45","60.88M","0.23%"
"Aug 23, 2018","12,365.58","12,367.48","12,411.01","12,353.55","65.64M","-0.16%"
"Aug 22, 2018","12,385.70","12,355.53","12,438.66","12,345.32","79.58M","0.01%"
"Aug 21, 2018","12,384.49","12,320.56","12,432.66","12,316.35","70.72M","0.43%"
"Aug 20, 2018","12,331.30","12,263.01","12,373.36","12,245.56","61.52M","0.99%"
"Aug 17, 2018","12,210.55","12,242.06","12,244.67","12,135.64","88.70M","-0.22%"
"Aug 16, 2018","12,237.17","12,202.13","12,251.40","12,168.92","83.99M","0.61%"
"Aug 15, 2018","12,163.01","12,400.27","12,428.56","12,120.65","102.79M","-1.58%"
"Aug 14, 2018","12,358.87","12,444.63","12,461.82","12,294.90","84.56M","0.00%"
"Aug 13, 2018","12,358.74","12,346.75","12,396.86","12,323.20","95.64M","-0.53%"
"Aug 10, 2018","12,424.35","12,574.20","12,585.83","12,390.40","124.41M","-1.99%"
"Aug 09, 2018","12,676.11","12,623.14","12,696.52","12,577.34","73.92M","0.34%"
"Aug 08, 2018","12,633.54","12,622.98","12,704.58","12,586.23","92.14M","-0.12%"
"Aug 07, 2018","12,648.19","12,656.87","12,738.53","12,646.16","89.81M","0.40%"
"Aug 06, 2018","12,598.21","12,631.40","12,715.78","12,538.35","67.63M","-0.14%"
"Aug 03, 2018","12,615.76","12,572.61","12,644.52","12,561.62","81.80M","0.55%"
"Aug 02, 2018","12,546.33","12,617.63","12,619.60","12,493.20","106.47M","-1.50%"
"Aug 01, 2018","12,737.05","12,826.70","12,833.11","12,706.34","96.40M","-0.53%"
"Jul 31, 2018","12,805.50","12,809.74","12,860.59","12,739.83","109.80M","0.06%"
"Jul 30, 2018","12,798.20","12,822.87","12,848.95","12,798.20","72.91M","-0.48%"
"Jul 27, 2018","12,860.40","12,825.75","12,886.83","12,815.12","98.59M","0.40%"
"Jul 26, 2018","12,809.23","12,732.88","12,827.71","12,701.56","109.21M","1.83%"
"Jul 25, 2018","12,579.33","12,685.68","12,695.12","12,538.12","83.32M","-0.87%"
"Jul 24, 2018","12,689.39","12,590.79","12,755.27","12,585.91","92.85M","1.12%"
"Jul 23, 2018","12,548.57","12,510.23","12,565.12","12,489.33","67.22M","-0.10%"
"Jul 20, 2018","12,561.42","12,664.45","12,706.84","12,469.50","109.78M","-0.98%"
"Jul 19, 2018","12,686.29","12,740.68","12,759.42","12,658.37","77.83M","-0.62%"
"Jul 18, 2018","12,765.94","12,728.41","12,778.96","12,715.52","90.35M","0.82%"
"Jul 17, 2018","12,661.54","12,566.97","12,688.50","12,522.05","94.82M","0.80%"
"Jul 16, 2018","12,561.02","12,530.98","12,604.24","12,506.99","100.11M","0.16%"
"Jul 13, 2018","12,540.73","12,549.23","12,583.79","12,499.30","82.98M","0.38%"
"Jul 12, 2018","12,492.97","12,464.06","12,505.20","12,408.63","74.55M","0.61%"
"Jul 11, 2018","12,417.13","12,506.99","12,514.75","12,398.47","86.96M","-1.53%"
"Jul 10, 2018","12,609.85","12,580.31","12,639.79","12,530.71","84.39M","0.53%"
"Jul 09, 2018","12,543.89","12,541.74","12,559.97","12,490.40","77.04M","0.38%"
"Jul 06, 2018","12,496.17","12,506.27","12,508.08","12,426.40","123.08M","0.26%"
"Jul 05, 2018","12,464.29","12,363.05","12,516.51","12,361.86","118.00M","1.19%"
"Jul 04, 2018","12,317.61","12,323.75","12,350.68","12,284.56","80.84M","-0.26%"
"Jul 03, 2018","12,349.14","12,321.07","12,428.14","12,278.39","96.42M","0.91%"
"Jul 02, 2018","12,238.17","12,147.94","12,301.93","12,132.72","96.33M","-0.55%"
"Jun 29, 2018","12,306.00","12,322.64","12,382.87","12,260.91","117.57M","1.06%"
"Jun 28, 2018","12,177.23","12,289.81","12,375.37","12,104.41","110.52M","-1.39%"
"Jun 27, 2018","12,348.61","12,247.75","12,439.91","12,124.87","131.84M","0.93%"
"Jun 26, 2018","12,234.34","12,333.44","12,355.86","12,188.50","64.39M","-0.29%"
"Jun 25, 2018","12,270.33","12,497.48","12,518.89","12,270.33","101.62M","-2.46%"
"Jun 22, 2018","12,579.72","12,507.72","12,579.72","12,486.26","86.32M","0.54%"
"Jun 21, 2018","12,511.91","12,699.71","12,719.45","12,472.98","114.59M","-1.44%"
"Jun 20, 2018","12,695.16","12,731.66","12,760.20","12,670.78","92.39M","0.14%"
"Jun 19, 2018","12,677.97","12,647.07","12,708.71","12,594.51","105.67M","-1.22%"
"Jun 18, 2018","12,834.11","12,945.53","12,982.92","12,784.48","91.86M","-1.36%"
"Jun 15, 2018","13,010.55","13,115.85","13,170.05","13,010.54","265.64M","-0.74%"
"Jun 14, 2018","13,107.10","12,806.07","13,135.97","12,800.66","140.30M","1.68%"
"Jun 13, 2018","12,890.58","12,857.16","12,905.67","12,781.23","108.97M","0.38%"
"Jun 12, 2018","12,842.30","12,924.03","12,948.52","12,816.07","103.76M","-0.00%"
"Jun 11, 2018","12,842.91","12,816.32","12,861.95","12,751.66","112.08M","0.60%"
"Jun 08, 2018","12,766.55","12,668.77","12,795.64","12,610.68","118.58M","-0.35%"
"Jun 07, 2018","12,811.05","12,877.85","12,914.85","12,760.54","96.98M","-0.15%"
"Jun 06, 2018","12,830.07","12,813.39","12,872.90","12,729.23","110.29M","0.34%"
"Jun 05, 2018","12,787.13","12,766.16","12,925.24","12,753.30","111.24M","0.13%"
"Jun 04, 2018","12,770.75","12,839.44","12,846.26","12,714.03","87.13M","0.37%"
"Jun 01, 2018","12,724.27","12,678.07","12,800.45","12,660.79","127.23M","0.95%"
"May 31, 2018","12,604.89","12,796.16","12,803.60","12,547.61","190.01M","-1.40%"
"May 30, 2018","12,783.76","12,693.33","12,783.76","12,663.37","126.40M","0.93%"
"May 29, 2018","12,666.51","12,786.15","12,803.29","12,608.70","158.73M","-1.53%"
"May 28, 2018","12,863.46","13,016.55","13,040.63","12,828.26","71.93M","-0.58%"
"May 25, 2018","12,938.01","12,917.15","13,002.47","12,852.17","107.26M","0.65%"
"May 24, 2018","12,855.09","12,955.94","13,006.44","12,801.82","148.21M","-0.94%"
"May 23, 2018","12,976.84","13,138.83","13,148.05","12,929.90","108.70M","-1.47%"
"May 22, 2018","13,169.92","13,132.56","13,204.31","13,061.77","112.49M","0.71%"
"May 18, 2018","13,077.72","13,115.63","13,133.19","13,051.13","128.11M","-0.28%"
"May 17, 2018","13,114.61","12,985.14","13,114.63","12,981.89","94.86M","0.91%"
"May 16, 2018","12,996.33","12,983.49","13,030.76","12,960.53","107.39M","0.20%"
"May 15, 2018","12,970.04","12,947.97","13,006.34","12,918.29","109.89M","-0.06%"
"May 14, 2018","12,977.71","13,009.83","13,015.10","12,927.24","79.56M","-0.18%"
